JD,Date_UT,Body,Sign,Deg,Lon,Notes,Source
2436279.30069,1958-03-20 19:13:00,Jupiter,Libra,0.0,,EST→UT (+5h) | src:ingress_by_body_csv.zip:Jupiter.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2436280.101384444,1958-03-20 00:00:00,Jupiter,Libra,0.0,,EST→UT (+5h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2436449.86944,1958-09-07 08:52:00,Jupiter,Scorpio,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Jupiter.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2436450.2388844443,1958-09-07 00:00:00,Jupiter,Scorpio,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2436606.07361,1959-02-10 13:46:00,Jupiter,Sagittarius,0.0,,EST→UT (+5h) | src:ingress_by_body_csv.zip:Jupiter.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2436606.6472211108,1959-02-10 00:00:00,Jupiter,Sagittarius,0.0,,EST→UT (+5h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2436679.04861,1959-04-24 13:10:00,Jupiter,Scorpio,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Jupiter.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2436679.597221111,1959-04-24 00:00:00,Jupiter,Scorpio,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2436843.11111,1959-10-05 14:40:00,Jupiter,Sagittarius,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Jupiter.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2436843.722221111,1959-10-05 00:00:00,Jupiter,Sagittarius,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2436991.04861,1960-03-01 13:10:00,Jupiter,Capricorn,0.0,,EST→UT (+5h) | src:ingress_by_body_csv.zip:Jupiter.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2436991.597221111,1960-03-01 00:00:00,Jupiter,Capricorn,0.0,,EST→UT (+5h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2437091.57778,1960-06-10 01:52:00,Jupiter,Sagittarius,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Jupiter.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2437091.6555577777,1960-06-10 00:00:00,Jupiter,Sagittarius,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2437229.62569,1960-10-26 03:01:00,Jupiter,Capricorn,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Jupiter.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2437229.7513844445,1960-10-26 00:00:00,Jupiter,Capricorn,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2437369.83403,1961-03-15 08:01:00,Jupiter,Aquarius,0.0,,EST→UT (+5h) | src:ingress_by_body_csv.zip:Jupiter.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2437370.168057778,1961-03-15 00:00:00,Jupiter,Aquarius,0.0,,EST→UT (+5h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2437519.87083,1961-08-12 08:54:00,Jupiter,Capricorn,0.0,,EDT→UT (+4h) | src:ingress_by_body_csv.zip:Jupiter.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2437520.241663333,1961-08-12 00:00:00,Jupiter,Capricorn,0.0,,EDT→UT (+4h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2437603.61736,1961-11-04 02:49:00,Jupiter,Aquarius,0.0,,EST→UT (+5h) | src:ingress_by_body_csv.zip:Jupiter.csv | src:ingress_by_body_csv.zip | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
2437603.734721111,1961-11-04 00:00:00,Jupiter,Aquarius,0.0,,EST→UT (+5h) | src:ephem_master_UNIFIED.csv | Ingress | src:MASTER_Ephem.csv,MASTER_Ephem_SYSTEM.csv
